original_review,cleaned_review,tokens,sentiment
The staff was apathetic and lacked enthusiasm.,staff apathetic lack enthusiasm,staff apathetic lack enthusiasm,0
"Not much flavor to them, and very poorly constructed.",not much flavor poorly construct,not much flavor poorly construct,0
We'll never go again.,well never go,well never go,0
All of the tapas dishes were delicious!,tapa dish delicious,tapa dish delicious,1
They have great dinners.,great dinner,great dinner,1
How awesome is that.,awesome,awesome,1
The restaurant had a tempting selection of desserts.,restaurant tempting selection dessert,restaurant tempting selection dessert,1
The service here is fair at best.,service fair best,service fair best,0
The waiters were inattentive and neglectful.,waiter inattentive neglectful,waiter inattentive neglectful,0
So they performed.,perform,perform,1
Great food and awesome service!,great food awesome service,great food awesome service,1
The portions were small and left us wanting more.,portion small leave want,portion small leave want,0
Food was below average.,food average,food average,0
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",one nice thing add gratuity bill since party large not expect tip,one nice thing add gratuity bill since party large not expect tip,1
"The food was great as always, compliments to the chef.",food great always compliment chef,food great always compliment chef,1
"Also, I feel like the chips are bought, not made in house.",also feel like chip buy not make house,also feel like chip buy not make house,0
The manager was the worst.,manager bad,manager bad,0
We won't be going back.,not go back,not go back,0
The restaurant had unclean tablecloths and utensils.,restaurant unclean tablecloth utensil,restaurant unclean tablecloth utensil,0
It wasn't busy at all and now we know why.,not busy know,not busy know,0
The dishes were served on chipped and dirty plates.,dish serve chipped dirty plate,dish serve chipped dirty plate,0
"The food was poorly seasoned, lacking in taste and spices.",food poorly seasoned lacking taste spice,food poorly seasoned lacking taste spice,0
The food was outstanding and the prices were very reasonable.,food outstanding price reasonable,food outstanding price reasonable,1
The wait staff appeared uninterested and inattentive.,wait staff appear uninterested inattentive,wait staff appear uninterested inattentive,0
The restaurant had comfortable and stylish decor.,restaurant comfortable stylish decor,restaurant comfortable stylish decor,1
The portions were skimpy and left us unsatisfied.,portion skimpy leave unsatisfied,portion skimpy leave unsatisfied,0
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",food delicious spicy enough sure ask spicy prefer way,food delicious spicy enough sure ask spicy prefer way,1
"Great steak, great sides, great wine, amazing desserts.",great steak great side great wine amazing dessert,great steak great side great wine amazing dessert,1
The food was underseasoned and lacked taste.,food underseasoned lack taste,food underseasoned lack taste,0
The restaurant had a variety of gluten-free options.,restaurant variety glutenfree option,restaurant variety glutenfree option,1
Everything was gross.,everything gross,everything gross,0
The dishes were poorly presented and unappetizing.,dish poorly present unappetizing,dish poorly present unappetizing,0
The food lacked freshness and tasted old.,food lack freshness taste old,food lack freshness taste old,0
It was a pale color instead of nice and char and has NO flavor.,pale color instead nice char no flavor,pale color instead nice char no flavor,0
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,regular toast bread equally satisfy occasional pat butter mmmm,regular toast bread equally satisfy occasional pat butter mmmm,1
It was delicious!!!,delicious,delicious,1
Don't do it!!!!,not,not,0
Will not be back!,not back,not back,0
The restaurant had a range of gluten-free and vegan options.,restaurant range glutenfree vegan option,restaurant range glutenfree vegan option,1
The staff was friendly and provided excellent hospitality.,staff friendly provided excellent hospitality,staff friendly provided excellent hospitality,1
The food was overpriced and didn't justify the cost.,food overprice not justify cost,food overprice not justify cost,0
It is worth the drive.,worth drive,worth drive,1
The portions were skimpy and left us hungry.,portion skimpy leave hungry,portion skimpy leave hungry,0
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,sergeant pepper beef sandwich auju sauce excellent sandwich well,sergeant pepper beef sandwich auju sauce excellent sandwich well,1
Couldn't ask for a more satisfying meal.,could not ask satisfying meal,could not ask satisfying meal,1
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",love place hit spot want something healthy not lack quantity flavor,love place hit spot want something healthy not lack quantity flavor,1
The drinks were watered down.,drink water,drink water,0
Great pork sandwich.,great pork sandwich,great pork sandwich,1
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",staff always super friendly helpful especially cool bring two small boy baby,staff always super friendly helpful especially cool bring two small boy baby,1
I was mortified.,mortify,mortify,0
RUDE & INCONSIDERATE MANAGEMENT.,rude inconsiderate management,rude inconsiderate management,0
Boy was that sucker dry!!.,boy sucker dry,boy sucker dry,0
"The food was underwhelming, falling short of expectations.",food underwhelming fall short expectation,food underwhelming fall short expectation,0
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,vanilla ice cream creamy smooth profiterole chou pastry fresh enough,vanilla ice cream creamy smooth profiterole chou pastry fresh enough,1
The staff was rude and unhelpful in resolving issues.,staff rude unhelpful resolve issue,staff rude unhelpful resolve issue,0
"What did bother me, was the slow service.",bother slow service,bother slow service,0
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,seafood limit boil shrimp crab leg crab legs definitely not taste fresh,seafood limit boil shrimp crab leg crab legs definitely not taste fresh,0
This place is way too overpriced for mediocre food.,place way overprice mediocre food,place way overprice mediocre food,0
Spend your money and time some place else.,spend money time place else,spend money time place else,0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",service little slow consider serve people server food come slow pace,service little slow consider serve people server food come slow pace,0
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,sure beat nacho movie would expect little bit come restaurant,sure beat nacho movie would expect little bit come restaurant,0
The portions were satisfying and left us content.,portion satisfy leave content,portion satisfy leave content,1
My friend did not like his Bloody Mary.,friend not like bloody mary,friend not like bloody mary,0
The food tasted fresh and full of flavor.,food taste fresh full flavor,food taste fresh full flavor,1
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",poor service waiter make feel like stupid every time come table,poor service waiter make feel like stupid every time come table,0
Service sucks.,service suck,service suck,0
They dropped more than the ball.,drop ball,drop ball,0
Good beer & drink selection and good food selection.,good beer drink selection good food selection,good beer drink selection good food selection,1
The waiters were attentive and got our orders right.,waiter attentive get order right,waiter attentive get order right,1
The waiters were pushy and constantly upselling.,waiter pushy constantly upselling,waiter pushy constantly upselling,0
I love the fact that everything on their menu is worth it.,love fact everything menu worth,love fact everything menu worth,1
The servers had an exceptional knowledge of the menu.,server exceptional knowledge menu,server exceptional knowledge menu,1
You can't beat that.,not beat,not beat,1
The portions were inconsistent and not filling.,portion inconsistent not fill,portion inconsistent not fill,0
The dishes had an unpleasant and strange texture.,dish unpleasant strange texture,dish unpleasant strange texture,0
"In summary, this was a largely disappointing dining experience.",summary largely disappointing din experience,summary largely disappointing din experience,0
"As for the ""mains,"" also uninspired.",main also uninspired,main also uninspired,0
"The restaurant had a range of vegetarian, vegan, and gluten-free options.",restaurant range vegetarian vegan glutenfree option,restaurant range vegetarian vegan glutenfree option,1
The waiters were attentive and provided great recommendations.,waiter attentive provide great recommendation,waiter attentive provide great recommendation,1
The roast beef sandwich tasted really good!,roast beef sandwich taste really good,roast beef sandwich taste really good,1
The food had an appetizing and appealing presentation.,food appetizing appeal presentation,food appetizing appeal presentation,1
It also took her forever to bring us the check when we asked for it.,also take forever bring check ask,also take forever bring check ask,0
"The burger is good beef, cooked just right.",burger good beef cook right,burger good beef cook right,1
The restaurant did not accommodate dietary restrictions.,restaurant not accommodate dietary restriction,restaurant not accommodate dietary restriction,0
The staff was rude and disrespectful.,staff rude disrespectful,staff rude disrespectful,0
She ordered a toasted English muffin that came out untoasted.,order toasted english muffin come untoasted,order toasted english muffin come untoasted,0
The food was a culinary delight with its exquisite flavors.,food culinary delight exquisite flavor,food culinary delight exquisite flavor,1
Maybe if they weren't cold they would have been somewhat edible.,maybe not cold would somewhat edible,maybe not cold would somewhat edible,0
Sooooo good!!,sooooo good,sooooo good,1
Update.....went back for a second time and it was still just as amazing,updatewent back second time still amazing,updatewent back second time still amazing,1
It was probably dirt.,probably dirt,probably dirt,0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,make drive way north scottsdale not one bit disappointed,make drive way north scottsdale not one bit disappointed,1
The food was a culinary delight with its exquisite taste.,food culinary delight exquisite taste,food culinary delight exquisite taste,1
It was equally awful.,equally awful,equally awful,0
"(It wasn't busy either) Also, the building was FREEZING cold.",not busy either also building freeze cold,not busy either also building freeze cold,0
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,pay hot dog fry look like come kid meal wienerschnitzel not idea good meal,pay hot dog fry look like come kid meal wienerschnitzel not idea good meal,0
The restaurant had dirty dishes and stained cutlery.,restaurant dirty dish stain cutlery,restaurant dirty dish stain cutlery,0
The desserts were a bit strange.,dessert bit strange,dessert bit strange,0
The restaurant had a vibrant and lively atmosphere.,restaurant vibrant lively atmosphere,restaurant vibrant lively atmosphere,1
The restaurant had dirty tables and sticky surfaces.,restaurant dirty table sticky surface,restaurant dirty table sticky surface,0
This is an unbelievable BARGAIN!,unbelievable bargain,unbelievable bargain,1
Service is friendly and inviting.,service friendly invite,service friendly invite,1
Pretty awesome place.,pretty awesome place,pretty awesome place,1
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",horrible attitude towards customer talk one customer not enjoy food,horrible attitude towards customer talk one customer not enjoy food,0
The restaurant had poor ventilation and felt stuffy.,restaurant poor ventilation felt stuffy,restaurant poor ventilation felt stuffy,0
The portions were small and left us unsatisfied.,portion small leave unsatisfied,portion small leave unsatisfied,0
"All in all, Ha Long Bay was a bit of a flop.",ha long bay bit flop,ha long bay bit flop,0
The staff was disorganized and made errors with our orders.,staff disorganize make error order,staff disorganize make error order,0
- the food is rich so order accordingly.,food rich order accordingly,food rich order accordingly,1
The waiters were knowledgeable about the menu.,waiter knowledgeable menu,waiter knowledgeable menu,1
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",first time ever come amazing experience still tell people awesome duck,first time ever come amazing experience still tell people awesome duck,1
The restaurant did not offer vegetarian options.,restaurant not offer vegetarian option,restaurant not offer vegetarian option,0
The staff was unwelcoming and didn't provide good hospitality.,staff unwelcoming not provide good hospitality,staff unwelcoming not provide good hospitality,0
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",sadly gordon ramseys steak place shall sharply avoid next trip vegas,sadly gordon ramseys steak place shall sharply avoid next trip vegas,0
The portions were overpriced and not worth it.,portion overprice not worth,portion overprice not worth,0
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,chicken deliciously seasoned perfect fry outside moist chicken inside,chicken deliciously seasoned perfect fry outside moist chicken inside,1
The staff was professional and provided impeccable service.,staff professional provide impeccable service,staff professional provide impeccable service,1
"Great atmosphere, friendly and fast service.",great atmosphere friendly fast service,great atmosphere friendly fast service,1
"In the summer, you can dine in a charming outdoor patio - so very delightful.",summer dine charming outdoor patio delightful,summer dine charming outdoor patio delightful,1
"Everyone is very attentive, providing excellent customer service.",everyone attentive providing excellent customer service,everyone attentive providing excellent customer service,1
The wait staff appeared disengaged and unenthusiastic.,wait staff appear disengage unenthusiastic,wait staff appear disengage unenthusiastic,0
So don't go there if you are looking for good food...,not go look good food,not go look good food,0
The staff was professional and courteous.,staff professional courteous,staff professional courteous,1
The portions were tiny and unsatisfying.,portion tiny unsatisfying,portion tiny unsatisfying,0
"This was my first crawfish experience, and it was delicious!",first crawfish experience delicious,first crawfish experience delicious,1
We literally sat there for 20 minutes with no one asking to take our order.,literally sit minute no one ask take order,literally sit minute no one ask take order,0
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",place jewel la vega exactly ive hop find nearly ten year live,place jewel la vega exactly ive hop find nearly ten year live,1
An extensive menu provides lots of options for breakfast.,extensive menu provide lot option breakfast,extensive menu provide lot option breakfast,1
Once you get inside you'll be impressed with the place.,get inside youll impress place,get inside youll impress place,1
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,boyfriend try mediterranean chicken salad fell love,boyfriend try mediterranean chicken salad fell love,1
Today is the second time I've been to their lunch buffet and it was pretty good.,today second time ive lunch buffet pretty good,today second time ive lunch buffet pretty good,1
This is a great restaurant at the Mandalay Bay.,great restaurant mandalay bay,great restaurant mandalay bay,1
"Best service and food ever, Maria our server was so good and friendly she made our day.",best service food ever maria server good friendly make day,best service food ever maria server good friendly make day,1
The chefs were friendly and did a good job.,chef friendly good job,chef friendly good job,1
Awesome selection of beer.,awesome selection beer,awesome selection beer,1
The food was overpriced for the quality served.,food overprice quality serve,food overprice quality serve,0
"The portions were small, not filling or satisfying.",portion small not fill satisfy,portion small not fill satisfy,0
The servers were constantly chatting and ignoring customers.,server constantly chat ignore customer,server constantly chat ignore customer,0
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",minute wait salad realize not come time soon,minute wait salad realize not come time soon,0
The staff was slow to respond and didn't address our needs.,staff slow respond not address need,staff slow respond not address need,0
Very friendly staff.,friendly staff,friendly staff,1
"The waiters were slow and forgetful, mixing up orders.",waiter slow forgetful mixing order,waiter slow forgetful mixing order,0
Damn good steak.,damn good steak,damn good steak,1
I wouldn't return.,would not return,would not return,0
The staff was slow and inefficient.,staff slow inefficient,staff slow inefficient,0
"For service, I give them no stars.",service give no star,service give no star,0
The portions were ridiculously small.,portion ridiculously small,portion ridiculously small,0
"I gave it 5 stars then, and I'm giving it 5 stars now.",give star im give star,give star im give star,1
It kept getting worse and worse so now I'm officially done.,keep get bad bad im officially,keep get bad bad im officially,0
"This place is not quality sushi, it is not a quality restaurant.",place not quality sushi not quality restaurant,place not quality sushi not quality restaurant,0
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,potato chip order sad could probably count many chip box probably around,potato chip order sad could probably count many chip box probably around,0
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",despite hard rate business actually rare give star,despite hard rate business actually rare give star,0
Crust is not good.,crust not good,crust not good,0
We won't be going back anytime soon!,not go back anytime soon,not go back anytime soon,0
The food was underwhelming and didn't impress.,food underwhelming not impress,food underwhelming not impress,0
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",not know big deal place not back yaall,not know big deal place not back yaall,0
This place was such a nice surprise!,place nice surprise,place nice surprise,1
I waited and waited.,wait wait,wait wait,0
The waiters were impolite and lacked basic manners.,waiter impolite lacked basic manner,waiter impolite lacked basic manner,0
"The chips and salsa were really good, the salsa was very fresh.",chip salsa really good salsa fresh,chip salsa really good salsa fresh,1
The service was slow and rude.,service slow rude,service slow rude,0
"Very good, though!",good though,good though,1
The restaurant had clean and well-appointed restrooms.,restaurant clean wellappointed restroom,restaurant clean wellappointed restroom,1
"- Really, really good rice, all the time.",really really good rice time,really really good rice time,1
I paid the bill but did not tip because I felt the server did a terrible job.,pay bill not tip felt server terrible job,pay bill not tip felt server terrible job,0
Would come back again if I had a sushi craving while in Vegas.,would come back sushi craving vega,would come back sushi craving vega,1
"If you look for authentic Thai food, go else where.",look authentic thai food go else,look authentic thai food go else,0
"No, I'm going to eat the potato that I found some strangers hair in it.",no im go eat potato find stranger hair,no im go eat potato find stranger hair,0
"The portions were disappointing, not worth the price paid.",portion disappoint not worth price pay,portion disappoint not worth price pay,0
The food was served hot and mouthwatering.,food serve hot mouthwatering,food serve hot mouthwatering,1
The food tasted burnt and charred.,food taste burnt char,food taste burnt char,0
The staff was unfriendly and provided poor customer service.,staff unfriendly provide poor customer service,staff unfriendly provide poor customer service,0
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",good side staff genuinely pleasant enthusiastic real treat,good side staff genuinely pleasant enthusiastic real treat,1
Very Very Disappointed ordered the $35 Big Bay Plater.,disappointed order big bay plater,disappointed order big bay plater,0
This place is horrible and way overpriced.,place horrible way overprice,place horrible way overprice,0
And service was super friendly.,service super friendly,service super friendly,1
The staff was unfriendly and showed no hospitality.,staff unfriendly show no hospitality,staff unfriendly show no hospitality,0
The dishes had the perfect level of spiciness.,dish perfect level spiciness,dish perfect level spiciness,1
The waiters were slow and forgetful with our orders.,waiter slow forgetful order,waiter slow forgetful order,0
The restaurant had no vegan options.,restaurant no vegan option,restaurant no vegan option,0
"Overall, I like this place a lot.",overall like place lot,overall like place lot,1
this place is good.,place good,place good,1
The restaurant had poor hygiene and cleanliness.,restaurant poor hygiene cleanliness,restaurant poor hygiene cleanliness,0
Would not go back.,would not go back,would not go back,0
The service was a bit lacking.,service bit lack,service bit lack,0
This was my first and only Vegas buffet and it did not disappoint.,first vegas buffet not disappoint,first vegas buffet not disappoint,1
The atmosphere was great with a lovely duo of violinists playing songs we requested.,atmosphere great lovely duo violinist play song request,atmosphere great lovely duo violinist play song request,1
Service was exceptional and food was a good as all the reviews.,service exceptional food good review,service exceptional food good review,1
The wait staff seemed knowledgeable and well-trained.,wait staff seem knowledgeable welltrained,wait staff seem knowledgeable welltrained,1
Nothing special.,nothing special,nothing special,0
Thoroughly disappointed!,thoroughly disappointed,thoroughly disappointed,0
"Of all the dishes, the salmon was the best, but all were great.",dish salmon best great,dish salmon best great,1
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",best place vega breakfast check sat sun,best place vega breakfast check sat sun,1
The food was bland and uninspiring.,food bland uninspiring,food bland uninspiring,0
"This place is not worth your time, let alone Vegas.",place not worth time let alone vegas,place not worth time let alone vegas,0
Food is way overpriced and portions are fucking small.,food way overpriced portion fuck small,food way overpriced portion fuck small,0
very tough and very short on flavor!,tough short flavor,tough short flavor,0
We waited for forty five minutes in vain.,wait forty five minute vain,wait forty five minute vain,0
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,shrimp unwrap live mile brushfire literally ice cold,shrimp unwrap live mile brushfire literally ice cold,0
I don't have to be an accountant to know I'm getting screwed!,not accountant know im get screw,not accountant know im get screw,0
The portions were small and didn't justify the price.,portion small not justify price,portion small not justify price,0
We recently witnessed her poor quality of management towards other guests as well.,recently witness poor quality management towards guest well,recently witness poor quality management towards guest well,0
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",no allergy warning menu waitress absolutely no clue meal not contain peanut,no allergy warning menu waitress absolutely no clue meal not contain peanut,0
It's too bad the food is so damn generic.,bad food damn generic,bad food damn generic,0
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",extremely rude really many restaurant would love dine weekend vega,extremely rude really many restaurant would love dine weekend vega,0
The restaurant had dirty dishes and neglected cleanliness.,restaurant dirty dish neglected cleanliness,restaurant dirty dish neglected cleanliness,0
The dishes were overcooked and dry.,dish overcook dry,dish overcook dry,0
Great food.,great food,great food,1
The food was delectable and mouthwatering.,food delectable mouthwatering,food delectable mouthwatering,1
Food quality has been horrible.,food quality horrible,food quality horrible,0
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,continue come lady night andddd date night highly recommend place anyone area,continue come lady night andddd date night highly recommend place anyone area,1
The restaurant had an unpleasant smell throughout.,restaurant unpleasant smell throughout,restaurant unpleasant smell throughout,0
The waitress and manager are so friendly.,waitress manager friendly,waitress manager friendly,1
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",staff not friendly wait time serve horrible no one even say hi first minute,staff not friendly wait time serve horrible no one even say hi first minute,0
All the bread is made in-house!,bread make inhouse,bread make inhouse,1
The service was disorganized and chaotic.,service disorganize chaotic,service disorganize chaotic,0
Definitely not worth the $3 I paid.,definitely not worth pay,definitely not worth pay,0
The dishes were overpriced for their quality.,dish overprice quality,dish overprice quality,0
say bye bye to your tip lady!,say bye bye tip lady,say bye bye tip lady,0
"The chips that came out were dripping with grease, and mostly not edible.",chip come drip grease mostly not edible,chip come drip grease mostly not edible,0
Must have been an off night at this place.,must night place,must night place,0
"I loved the grilled pizza, reminded me of legit Italian pizza.",love grilled pizza remind legit italian pizza,love grilled pizza remind legit italian pizza,1
The restaurant had a foul smell.,restaurant foul smell,restaurant foul smell,0
Their chow mein is so good!,chow mein good,chow mein good,1
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",live neighborhood disappoint not back convenient location,live neighborhood disappoint not back convenient location,0
The restaurant had dirty menus and sticky surfaces.,restaurant dirty menu sticky surface,restaurant dirty menu sticky surface,0
"The fries were not hot, and neither was my burger.",fry not hot neither burger,fry not hot neither burger,0
"Plus, it's only 8 bucks.",plus buck,plus buck,1
The staff was disorganized and had difficulty managing orders.,staff disorganize difficulty manage order,staff disorganize difficulty manage order,0
Bland and flavorless is a good way of describing the barely tepid meat.,bland flavorless good way describe barely tepid meat,bland flavorless good way describe barely tepid meat,0
My drink was never empty and he made some really great menu suggestions.,drink never empty make really great menu suggestion,drink never empty make really great menu suggestion,1
The restaurant had clean and well-maintained facilities.,restaurant clean wellmaintained facility,restaurant clean wellmaintained facility,1
The portions were meager and left us feeling unsatisfied.,portion meager leave feel unsatisfied,portion meager leave feel unsatisfied,0
"You get incredibly fresh fish, prepared with care.",get incredibly fresh fish prepare care,get incredibly fresh fish prepare care,1
We will not be coming back.,not come back,not come back,0
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",never hard rock casino never ever step forward,never hard rock casino never ever step forward,0
The cocktails are all handmade and delicious.,cocktail handmade delicious,cocktail handmade delicious,1
A fantastic neighborhood gem !!!,fantastic neighborhood gem,fantastic neighborhood gem,1
The food had an odd combination of flavors.,food odd combination flavor,food odd combination flavor,0
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,feel dining room college cook course high class dining service slow best,feel dining room college cook course high class dining service slow best,0
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",similarly delivery man not say word apology food minute late,similarly delivery man not say word apology food minute late,0
"i felt insulted and disrespected, how could you talk and judge another human being like that?",felt insulted disrespect could talk judge another human like,felt insulted disrespect could talk judge another human like,0
The food was tasteless and lacked any flavor.,food tasteless lack flavor,food tasteless lack flavor,0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",much id like go back not get pass atrocious service never return,much id like go back not get pass atrocious service never return,0
The restaurant was dirty and unclean.,restaurant dirty unclean,restaurant dirty unclean,0
The refried beans that came with my meal were dried out and crusty and the food was bland.,refried bean come meal dry crusty food bland,refried bean come meal dry crusty food bland,0
The restaurant had a warm and welcoming ambiance.,restaurant warm welcoming ambiance,restaurant warm welcoming ambiance,1
"When my order arrived, one of the gyros was missing.",order arrive one gyro miss,order arrive one gyro miss,0
The staff was unresponsive and didn't attend to our concerns.,staff unresponsive not attend concern,staff unresponsive not attend concern,0
The portions were tiny and left us hungry.,portion tiny leave hungry,portion tiny leave hungry,0
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",level spicy perfect spice not overwhelm soup,level spicy perfect spice not overwhelm soup,1
I don't think we'll be going back anytime soon.,not think well go back anytime soon,not think well go back anytime soon,0
Our server was very nice and attentive as were the other serving staff.,server nice attentive serving staff,server nice attentive serving staff,1
Our server was super nice and checked on us many times.,server super nice check many time,server super nice check many time,1
"The restaurant had poor ventilation, making the air stuffy.",restaurant poor ventilation make air stuffy,restaurant poor ventilation make air stuffy,0
The staff was unprofessional and impolite.,staff unprofessional impolite,staff unprofessional impolite,0
"Food was good, service was good, Prices were good.",food good service good price good,food good service good price good,1
The food had a harmonious blend of flavors and textures.,food harmonious blend flavor texture,food harmonious blend flavor texture,1
The food was worth every penny.,food worth every penny,food worth every penny,1
Eew... This location needs a complete overhaul.,eew location need complete overhaul,eew location need complete overhaul,0
This is my new fav Vegas buffet spot.,new fav vega buffet spot,new fav vega buffet spot,1
I love this place.,love place,love place,1
I won't try going back there even if it's empty.,not try go back even empty,not try go back even empty,0
Always a great time at Dos Gringos!,always great time gringo,always great time gringo,1
The food was absolutely delicious.,food absolutely delicious,food absolutely delicious,1
The waiters were friendly and provided exceptional service.,waiter friendly provide exceptional service,waiter friendly provide exceptional service,1
The dishes were poorly presented and sloppily plated.,dish poorly present sloppily plat,dish poorly present sloppily plat,0
The food had a tantalizing and mouthwatering taste.,food tantalizing mouthwatering taste,food tantalizing mouthwatering taste,1
The restaurant had slow and inefficient service.,restaurant slow inefficient service,restaurant slow inefficient service,0
"Great food for the price, which is very high quality and house made.",great food price high quality house make,great food price high quality house make,1
The restaurant had clean and well-designed menus.,restaurant clean welldesigned menu,restaurant clean welldesigned menu,1
"Seriously flavorful delights, folks.",seriously flavorful delight folk,seriously flavorful delight folk,1
Their steaks are 100% recommended!,steak recommend,steak recommend,1
The waiters were impolite and impatient with us.,waiter impolite impatient,waiter impolite impatient,0
The food had a harmonious blend of spices and ingredients.,food harmonious blend spice ingredient,food harmonious blend spice ingredient,1
The restaurant had limited vegetarian options and poor alternatives.,restaurant limit vegetarian option poor alternative,restaurant limit vegetarian option poor alternative,0
We watched our waiter pay a lot more attention to other tables and ignore us.,watch waiter pay lot attention table ignore,watch waiter pay lot attention table ignore,0
Their frozen margaritas are WAY too sugary for my taste.,frozen margarita way sugary taste,frozen margarita way sugary taste,0
The dishes were served lukewarm and not hot.,dish serve lukewarm not hot,dish serve lukewarm not hot,0
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",breakfast perpared great beautiful presentation giant slice toast lightly dust powdered sugar,breakfast perpared great beautiful presentation giant slice toast lightly dust powdered sugar,1
It really is impressive that the place hasn't closed down.,really impressive place not close,really impressive place not close,0
No complaints!,no complaint,no complaint,1
They really want to make your experience a good one.,really want make experience good one,really want make experience good one,1
The waiters were attentive and knowledgeable.,waiter attentive knowledgeable,waiter attentive knowledgeable,1
The staff are also very friendly and efficient.,staff also friendly efficient,staff also friendly efficient,1
I would definitely recommend the wings as well as the pizza.,would definitely recommend wing well pizza,would definitely recommend wing well pizza,1
The owners are super friendly and the staff is courteous.,owner super friendly staff courteous,owner super friendly staff courteous,1
This place deserves one star and 90% has to do with the food.,place deserve one star food,place deserve one star food,0
If you haven't gone here GO NOW!,not go go,not go go,1
I think food should have flavor and texture and both were lacking.,think food flavor texture lack,think food flavor texture lack,0
"I don't have very many words to say about this place, but it does everything pretty well.",not many word say place everything pretty well,not many word say place everything pretty well,1
The management was disorganized and unprofessional.,management disorganize unprofessional,management disorganize unprofessional,0
Service was good and the company was better!,service good company good,service good company good,1
Worst Thai ever.,bad thai ever,bad thai ever,0
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,far sushi connoisseur definitely tell difference good food bad food certainly bad food,far sushi connoisseur definitely tell difference good food bad food certainly bad food,0
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",maybe vegetarian fare ive twice think average best,maybe vegetarian fare ive twice think average best,0
OMG I felt like I had never eaten Thai food until this dish.,omg felt like never eat thai food dish,omg felt like never eat thai food dish,1
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,work hospitality industry paradise valley refrain recommend cibo long,work hospitality industry paradise valley refrain recommend cibo long,0
Dessert: Panna Cotta was amazing.,dessert panna cotta amaze,dessert panna cotta amaze,1
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",not waste enough life pour salt wound draw time take bring check,not waste enough life pour salt wound draw time take bring check,0
This place is great!!!!!!!!!!!!!!,place great,place great,1
I love the decor with the Chinese calligraphy wall paper.,love decor chinese calligraphy wall paper,love decor chinese calligraphy wall paper,1
Not my thing.,not thing,not thing,0
I vomited in the bathroom mid lunch.,vomit bathroom mid lunch,vomit bathroom mid lunch,0
After I pulled up my car I waited for another 15 minutes before being acknowledged.,pull car wait another minute acknowledge,pull car wait another minute acknowledge,0
Very good lunch spot.,good lunch spot,good lunch spot,1
Just had lunch here and had a great experience.,lunch great experience,lunch great experience,1
The portions were generous and left us feeling completely satisfied.,portion generous leave feel completely satisfied,portion generous leave feel completely satisfied,1
The restaurant had unclean tables and sticky surfaces.,restaurant unclean table sticky surface,restaurant unclean table sticky surface,0
The restaurant had unclean facilities and neglected cleanliness.,restaurant unclean facility neglect cleanliness,restaurant unclean facility neglect cleanliness,0
